Entity,Africa,Africa (EI),Algeria,Argentina,Asia,Asia Pacific (EI),Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Brazil,Bulgaria,CIS (EI),Canada,Central America (EI),Chile,China,Colombia,Croatia,Cyprus,Czechia,Denmark,Eastern Africa (EI),Ecuador,Egypt,Estonia,Europe,Europe (EI),European Union (27),Finland,France,Germany,Greece,High-income countries,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kuwait,Latvia,Lithuania,Lower-middle-income countries,Luxembourg,Malaysia,Mexico,Middle Africa (EI),Middle East (EI),Morocco,Netherlands,New Zealand,Non-OECD (EI),North America,North America (EI),North Macedonia,Norway,OECD (EI),Oceania,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Singapore,Slovakia,Slovenia,South Africa,South America,South Korea,South and Central America (EI),Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Turkey,Turkmenistan,USSR,Ukraine,United Arab Emirates,United Kingdom,United States,Upper-middle-income countries,Uzbekistan,Venezuela,Vietnam,Western Africa (EI),World
1965,342.1337,342.1337,15.4052515,275.2159,2249.215,1948.4355,200.01936,65.29748,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6414.477,,,,,,
1966,370.45,370.45,20.272705,283.8763,2581.3262,2277.601,214.04755,71.78886,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6731.245,,,,,,
1967,369.19354,369.1935,18.94203,290.73495,2914.7913,2602.3276,234.38776,76.54811,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6988.794,,,,,,
1968,390.3657,390.3657,20.167301,296.7972,3263.2773,2945.135,255.28499,88.466064,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7457.961,,,,,,
1969,398.15326,398.15326,21.305931,308.01144,3828.2593,3489.0818,262.44812,97.22599,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7831.838,,,,,,
1970,435.02704,435.02707,24.34768,278.4355,4448.1787,4104.714,290.1954,107.04365,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8176.1914,,,,,,
1971,474.3054,474.30536,27.440048,296.5011,4877.7363,4492.6836,305.54456,119.607025,NA,8.135291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8461.684,,,,,,
1972,510.7296,510.7296,30.121414,295.1862,5359.248,4929.4224,311.03336,129.12288,NA,9.919018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9119.912,,,,,,
1973,549.80396,549.804,32.900345,297.19864,6035.336,5546.783,331.89294,139.92781,NA,11.208105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9655.255,,,,,,
1974,569.7385,569.7385,36.54384,297.124,5968.027,5453.451,351.73514,125.22768,NA,11.659564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9271.507,,,,,,
