Entity,Africa,Africa (EI),Algeria,Argentina,Asia,Asia Pacific (EI),Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Brazil,Bulgaria,CIS (EI),Canada,Central America (EI),Chile,China,Colombia,Croatia,Cyprus,Czechia,Denmark,Eastern Africa (EI),Ecuador,Egypt,Estonia,Europe,Europe (EI),European Union (27),Finland,France,Germany,Greece,High-income countries,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kuwait,Latvia,Lithuania,Lower-middle-income countries,Luxembourg,Malaysia,Mexico,Middle Africa (EI),Middle East (EI),Morocco,Netherlands,New Zealand,Non-OECD (EI),North America,North America (EI),North Macedonia,Norway,OECD (EI),Oceania,Oman,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Saudi Arabia,Singapore,Slovakia,Slovenia,South Africa,South America,South Korea,South and Central America (EI),Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Trinidad and Tobago,Turkey,Turkmenistan,USSR,Ukraine,United Arab Emirates,United Kingdom,United States,Upper-middle-income countries,Uzbekistan,Venezuela,Vietnam,Western Africa (EI),World
1965,342.1337,342.1337,15.4052515,275.2159,2249.215,1948.4355,200.01936,65.29748,NA,NA,NA,188.46475,177.73056,43.71547,1994.8495,642.81793,39.865334,41.014145,129.06253,54.81988,NA,4.68025,47.046886,123.12544,70.22648,7.9206376,81.39379,NA,6933.232,4980.371,3844.244,67.48548,637.3014,1020.56976,52.273228,13667.814,24.871521,44.27309,5.612466,146.99513,72.54362,81.939705,18.0648,28.522163,40.27698,610.7382,1022.0436,NA,61.960056,NA,NA,466.98868,9.832363,31.176205,178.4483,24.153852,491.44632,11.545965,295.90454,32.636177,4567.3154,7466.549,7235.743,NA,60.316517,13445.202,232.65555,0.09738055,44.92068,43.167362,57.4021,64.42475,30.529512,0.57273304,84.556404,NA,229.13554,47.841484,27.047098,NA,67.35819,748.86774,15.124584,1019.5386,166.38136,9.374515,229.70325,96.37956,25.688173,27.696348,22.197903,41.988743,NA,1994.8495,NA,0.854533,885.7195,6414.477,3275.7817,NA,112.02376,18.01154,49.667866,18012.52
1966,370.45,370.45,20.272705,283.8763,2581.3262,2277.601,214.04755,71.78886,NA,NA,NA,192.2603,193.79759,49.874107,2136.2473,677.2622,41.064636,44.94295,165.7999,65.52585,NA,5.338632,51.94198,140.2377,73.55622,8.26975,87.33999,NA,7552.965,5466.834,4236.7344,81.86467,683.123,1141.8322,57.076584,14725.512,27.293041,48.626213,6.051159,164.14967,69.86446,89.68452,19.331001,31.881552,41.695316,673.43463,1220.0682,NA,60.271442,NA,NA,536.9829,11.189572,35.99366,186.99396,24.54173,503.7902,16.513163,320.8774,36.13348,4915.6875,7833.953,7595.5015,NA,68.08451,14511.711,250.18103,0.12186111,46.11689,54.434715,63.940327,67.00852,31.292534,0.57199776,88.13735,NA,231.1016,54.68557,29.85093,NA,73.19014,797.4585,22.645342,1076.9752,196.83342,9.601324,259.65668,102.46806,30.388775,32.691463,22.353632,50.116108,NA,2136.2473,NA,0.91204107,948.9158,6731.245,3536.1116,NA,110.1053,39.36429,51.230038,19427.398
1967,369.19354,369.1935,18.94203,290.73495,2914.7913,2602.3276,234.38776,76.54811,NA,NA,NA,212.03163,199.99173,62.72245,2327.5435,723.1062,42.675953,46.931915,163.69284,65.62976,NA,5.7872543,57.79913,148.31645,78.33671,8.931146,71.32263,NA,8203.042,5934.346,4601.5503,85.7726,784.79,1187.4216,67.11283,15761.052,32.704254,51.44969,5.871542,169.36021,67.402794,99.205444,20.708927,35.69569,50.674126,745.36487,1445.0398,NA,58.632427,NA,NA,565.5884,12.358044,38.8187,200.27634,25.013054,525.9555,18.142168,327.9667,37.95181,5246.723,8160.8506,7912.1763,NA,70.49037,15533.105,272.33957,0.5409833,51.5479,54.833336,69.58127,72.72036,34.5241,0.8658272,99.876396,NA,233.06763,65.72113,33.213135,NA,79.76973,816.93567,39.25714,1108.2856,238.4801,9.834314,258.7804,110.83246,36.092865,36.284153,23.321835,58.8478,NA,2327.5435,NA,0.9802558,1019.7785,6988.794,3788.53,NA,112.342155,57.652416,52.564472,20779.828
1968,390.3657,390.3657,20.167301,296.7972,3263.2773,2945.135,255.28499,88.466064,NA,NA,NA,246.15921,240.19615,74.33811,2481.1162,769.7931,44.01643,49.473732,179.03456,70.640076,NA,6.4272513,63.84015,161.21199,80.84091,10.672142,74.599754,NA,8936.249,6525.836,5089.9995,97.22671,850.43164,1331.1227,68.693054,17105.246,35.71866,53.92054,6.2693133,189.77089,71.29931,109.47246,22.232122,39.704014,51.30148,821.8543,1645.5842,NA,57.05615,NA,NA,623.9201,13.641634,39.985744,217.78389,25.758215,541.7199,19.909143,353.7581,38.995968,5632.8096,8699.625,8445.538,NA,78.40632,16878.475,294.28094,0.65190834,58.71033,55.01083,82.39472,90.988075,37.036827,1.1196642,105.33326,NA,235.05855,81.66475,36.70286,NA,86.71,883.47034,58.039677,1181.5742,253.3006,10.081402,292.71014,122.932655,43.046482,47.828484,23.768787,70.703316,NA,2481.1162,NA,1.094713,1079.4958,7457.961,4086.7214,NA,122.37331,58.814095,54.598923,22511.285
1969,398.15326,398.15326,21.305931,308.01144,3828.2593,3489.0818,262.44812,97.22599,NA,NA,NA,284.00696,263.56772,91.278786,2638.379,801.5453,45.739628,52.70953,240.04433,67.855446,NA,7.5897937,68.492935,193.82655,89.04959,11.293051,55.378662,NA,9826.869,7267.149,5719.058,112.9222,982.66754,1496.9418,73.09414,18648.693,42.38126,60.31394,5.7495003,227.92883,76.334076,119.565926,23.810186,43.153435,58.12166,905.27026,2017.5236,NA,55.53032,NA,NA,671.0228,15.104541,43.46176,230.15845,26.483377,563.47205,21.551186,385.83737,40.505108,6035.813,9124.7,8863.542,NA,86.18964,18410.36,302.95322,0.9285111,55.06346,54.147644,88.841705,100.078026,38.868618,1.30044,117.42677,NA,237.07051,80.28362,39.373753,NA,95.32516,919.4989,78.77083,1226.397,288.38123,10.303508,313.51505,133.68282,51.549316,51.799706,24.918285,78.658714,NA,2638.379,NA,1.216425,1160.3401,7831.838,4395.023,NA,120.897606,71.083626,59.500107,24446.174
1970,435.02704,435.02707,24.34768,278.4355,4448.1787,4104.714,290.1954,107.04365,NA,NA,NA,309.81564,301.26898,106.039246,2904.4417,854.80023,47.50745,55.66466,332.04553,76.955696,NA,8.004829,82.32865,215.59958,92.7437,12.877645,71.66592,NA,10877.038,8055.9346,6391.1313,126.97794,1116.3308,1644.0702,79.16741,20317.312,45.737446,70.053635,5.8756347,226.89145,80.99267,129.19635,31.23763,48.426376,62.26058,1024.0592,2444.1143,NA,54.056026,NA,NA,710.4087,16.02329,40.44124,247.47472,26.86877,597.932,22.55748,429.0313,47.609863,6602.967,9575.993,9278.467,NA,97.02358,20069.744,337.80527,0.9359056,54.475094,56.897602,90.00561,105.84359,53.6951,1.1239372,127.266594,NA,247.49394,87.17049,47.31742,NA,103.3002,951.1611,98.390976,1296.1957,328.98575,17.57452,341.1421,149.8176,61.906002,60.303055,25.560862,83.33808,NA,2904.4417,NA,1.4155911,1228.7844,8176.1914,4842.5293,NA,126.479774,73.69463,62.9254,26672.713
1971,474.3054,474.30536,27.440048,296.5011,4877.7363,4492.6836,305.54456,119.607025,NA,8.135291,NA,317.5064,342.16653,116.62912,3079.1697,877.85034,49.296165,61.719658,451.57767,79.72807,NA,9.548513,90.6397,212.84607,100.00312,14.232479,74.0778,NA,11434.073,8453.693,6730.6123,131.4189,1216.7485,1712.5317,87.45739,21236.92,48.245647,78.927284,6.399699,243.33246,83.943825,141.64664,33.480137,53.493183,70.908646,1101.3706,2633.4072,NA,53.16879,NA,NA,747.17004,16.681265,45.043636,262.43677,31.117723,640.9845,23.806574,423.7892,49.176487,7132.2026,9905.831,9601.97,NA,96.0008,20985.707,354.72104,15.471502,51.226597,56.256172,97.47116,112.22479,60.925804,1.0794972,129.28983,NA,250.45639,75.6517,52.108093,NA,112.90513,1021.9449,111.123955,1375.1017,362.10995,17.690096,320.8071,158.97955,86.65054,67.13238,26.413431,98.7893,NA,3079.1697,NA,1.6705304,1235.2861,8461.684,5267.667,NA,127.675095,62.34338,77.30075,28117.908
1972,510.7296,510.7296,30.121414,295.1862,5359.248,4929.4224,311.03336,129.12288,NA,9.919018,NA,343.47244,388.73825,121.28457,3339.661,924.3328,52.135757,63.947697,519.6965,94.19158,NA,10.737023,99.17102,225.19148,101.559296,14.631551,84.65238,NA,12275.2705,9047.596,7222.543,139.85992,1350.9572,1807.8164,101.31322,22859.791,55.002895,85.993385,6.8569255,262.38324,90.78368,157.65855,40.729267,58.884476,67.1222,1156.2516,2894.374,NA,57.331783,NA,NA,798.40015,17.51691,49.289757,295.5131,32.45925,681.81573,25.329979,472.7687,52.94315,7745.4146,10679.776,10339.758,NA,100.55224,22585.96,363.9765,17.677216,42.2802,48.011005,102.89429,125.95774,66.2705,1.2848859,138.00854,NA,267.64355,94.75275,56.999817,NA,123.06213,1090.2395,115.992966,1482.3936,381.81464,18.611622,329.2851,162.98949,93.771324,84.27273,42.87166,111.986435,NA,3339.661,NA,2.1951501,1309.8104,9119.912,5756.2905,NA,139.25276,64.54946,81.8782,30331.375
1973,549.80396,549.804,32.900345,297.19864,6035.336,5546.783,331.89294,139.92781,NA,11.208105,NA,360.63428,470.9368,127.88814,3590.3982,1009.6328,57.411846,61.419964,633.9831,86.37415,NA,11.51917,111.4943,208.22063,107.13933,16.284168,79.572014,NA,13148.835,9694.992,7783.381,156.46223,1506.0256,1927.148,117.920204,24549.95,57.120667,96.752205,7.9397244,276.95908,108.37455,189.24191,39.85893,63.811314,72.303604,1217.0194,3271.4678,NA,54.197147,NA,NA,861.55176,19.464945,52.4388,316.24557,33.634758,739.85297,30.294249,487.92667,55.962757,8461.094,11354.611,10981.134,NA,102.16668,24261.041,387.8557,15.375914,43.33429,55.933968,114.859406,139.72865,72.85421,1.6680157,155.25238,NA,283.90036,89.27612,64.09421,NA,135.76929,1188.2814,142.77954,1619.1711,458.62744,19.797039,336.5918,175.4158,119.624985,89.21048,43.14619,136.55545,NA,3590.3982,NA,3.425611,1344.5009,9655.255,6310.338,NA,152.8878,63.385323,91.57243,32722.135
1974,569.7385,569.7385,36.54384,297.124,5968.027,5453.451,351.73514,125.22768,NA,11.659564,NA,317.68402,522.1538,132.98701,3944.1707,1027.002,60.821976,59.826385,729.073,95.57915,NA,10.213084,114.3211,188.51405,107.91935,18.546286,87.76041,NA,12937.709,9126.41,7325.0566,136.34688,1430.9877,1748.5242,110.66205,23439.533,58.476112,105.922,7.4100266,271.54297,113.21974,219.959,39.219147,63.19731,72.49729,1184.078,3098.3828,NA,49.556572,NA,NA,868.7116,17.504738,52.28298,357.2522,34.716637,786.39124,32.480705,418.32544,52.95165,9011.125,11026.319,10655.761,NA,92.95792,23213.523,404.6868,14.127883,46.68848,65.89939,107.578,147.14691,77.65474,2.2778795,142.95157,NA,297.71277,87.99668,65.71882,NA,132.2976,1257.3451,147.48793,1688.7253,480.74136,15.812425,302.31848,156.10689,107.38309,90.82001,42.485165,132.87135,NA,3944.1707,NA,4.745511,1248.8663,9271.507,6876.532,NA,153.03566,38.686214,95.69809,32224.648
